moins de 100,839,329,315,1116,514,589,277,"23,5","82,5","46,1","52,8"
100 à 200,633,305,286,843,362,520,215,"28,9","83,8","43,0","61,7"
200 à 500,571,305,304,738,275,518,177,"34,9","86,4","37,3","70,2"
500 à 2000,621,341,392,778,253,621,171,"42,9","89,5","32,5","79,8"
2000 à 3500,724,400,505,898,258,732,173,"49,0","89,2","28,7","81,4"
3500 à 5000,862,470,607,1047,258,842,178,"51,7","90,5","24,7","80,4"
5000 à 10000,964,506,676,1145,249,900,185,"54,9","91,7","21,8","78,6"
10000 à 20000,135,567,801,1325,248,954,215,"58,3","92,7","18,7","72,0"
20000 à 50000,1269,626,867,1450,259,1118,244,"60,0","94,3","17,9","77,1"
50000 à 100000,1395,678,912,1582,260,1475,269,"58,9","96,5","16,4","93,2"
100000 et plus,1220,624,802,1388,243,1189,242,"57,1","95,9","17,5","85,7"

